t,nCasesLoc,nCasesImp
26-Feb-2020,0,1
27-Feb-2020,0,0
28-Feb-2020,0,0
29-Feb-2020,0,0
01-Mar-2020,0,0
02-Mar-2020,0,1
03-Mar-2020,0,0
04-Mar-2020,1,1
05-Mar-2020,0,2
06-Mar-2020,1,0
07-Mar-2020,0,0
08-Mar-2020,0,0
09-Mar-2020,0,0
10-Mar-2020,0,0
11-Mar-2020,0,0
12-Mar-2020,0,1
13-Mar-2020,0,1
14-Mar-2020,0,1
15-Mar-2020,0,1
16-Mar-2020,0,7
17-Mar-2020,2,10
18-Mar-2020,1,4
19-Mar-2020,5,13
20-Mar-2020,3,8
21-Mar-2020,11,13
22-Mar-2020,15,29
23-Mar-2020,13,28
24-Mar-2020,18,40
25-Mar-2020,32,52
26-Mar-2020,25,54
27-Mar-2020,40,35
28-Mar-2020,37,35
29-Mar-2020,48,26
30-Mar-2020,33,19
31-Mar-2020,55,22
01-Apr-2020,37,36
02-Apr-2020,56,26
03-Apr-2020,60,15
04-Apr-2020,61,16
05-Apr-2020,61,9
06-Apr-2020,46,7
07-Apr-2020,29,8
08-Apr-2020,19,9
09-Apr-2020,40,4
10-Apr-2020,21,6
11-Apr-2020,16,9
12-Apr-2020,15,5
13-Apr-2020,11,0
14-Apr-2020,13,3
15-Apr-2020,11,0
16-Apr-2020,14,3
17-Apr-2020,9,3
18-Apr-2020,8,2
19-Apr-2020,8,2
20-Apr-2020,3,0
21-Apr-2020,6,0
22-Apr-2020,4,1
23-Apr-2020,4,1
24-Apr-2020,6,0
25-Apr-2020,5,1
26-Apr-2020,3,0
27-Apr-2020,3,0
28-Apr-2020,0,1
29-Apr-2020,1,1
30-Apr-2020,3,0
01-May-2020,6,0
02-May-2020,0,0
03-May-2020,0,1
04-May-2020,0,0
05-May-2020,2,0
06-May-2020,2,0
07-May-2020,1,0
08-May-2020,1,0
09-May-2020,0,1
10-May-2020,2,1
11-May-2020,0,0
12-May-2020,0,0
13-May-2020,0,0
14-May-2020,1,0
15-May-2020,1,0
16-May-2020,0,0
17-May-2020,0,0
18-May-2020,0,0
19-May-2020,0,0
20-May-2020,0,0
21-May-2020,0,0
22-May-2020,1,0
23-May-2020,0,0
24-May-2020,0,0
25-May-2020,0,0
26-May-2020,0,0
27-May-2020,0,0
28-May-2020,0,0
29-May-2020,0,0
30-May-2020,0,0
31-May-2020,0,0
01-Jun-2020,0,0
02-Jun-2020,0,0
03-Jun-2020,0,0
04-Jun-2020,0,0
05-Jun-2020,0,0
06-Jun-2020,0,0
07-Jun-2020,0,0
08-Jun-2020,0,0
09-Jun-2020,0,0
10-Jun-2020,0,0
11-Jun-2020,0,0
12-Jun-2020,0,0
13-Jun-2020,0,0
14-Jun-2020,0,0
15-Jun-2020,0,0
16-Jun-2020,0,0
17-Jun-2020,0,0
18-Jun-2020,0,0
19-Jun-2020,0,0
20-Jun-2020,0,0
21-Jun-2020,0,0
22-Jun-2020,0,0
23-Jun-2020,0,0
24-Jun-2020,0,0
25-Jun-2020,0,0
26-Jun-2020,0,0
27-Jun-2020,0,0
28-Jun-2020,0,0
29-Jun-2020,0,0
30-Jun-2020,0,0
