Report Date,Case Status,Sex,Age group,District,Overseas travel,Infection status,Number of cases reported
26/02/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
2/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
4/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
4/03/2020,Confirmed,Male,40 to 49,Counties Manukau,,First,1
5/03/2020,Probable,Female,70 to 79,At the border,Yes,First,1
5/03/2020,Probable,Male,70 to 79,At the border,Yes,First,1
6/03/2020,Confirmed,Female,40 to 49,Counties Manukau,,First,1
12/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
13/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
14/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
15/03/2020,Confirmed,Female,40 to 49,At the border,Yes,First,1
16/03/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
16/03/2020,Confirmed,Female,40 to 49,At the border,Yes,First,1
16/03/2020,Confirmed,Male,30 to 39,At the border,Yes,First,1
16/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
16/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
16/03/2020,Confirmed,Male,70 to 79,At the border,Yes,First,2
17/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
17/03/2020,Confirmed,Female,40 to 49,At the border,Yes,First,1
17/03/2020,Confirmed,Male,10 to 19,Southern,,First,1
17/03/2020,Confirmed,Male,20 to 29,At the border,Yes,First,1
17/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,3
17/03/2020,Confirmed,Male,50 to 59,At the border,Yes,First,2
17/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,2
17/03/2020,Probable,Female,50 to 59,Southern,,First,1
18/03/2020,Confirmed,Female,50 to 59,Auckland,,First,1
18/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
18/03/2020,Confirmed,Male,50 to 59,At the border,Yes,First,2
18/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
19/03/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
19/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,2
19/03/2020,Confirmed,Female,30 to 39,MidCentral,,First,1
19/03/2020,Confirmed,Female,40 to 49,At the border,Yes,First,1
19/03/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
19/03/2020,Confirmed,Female,70 to 79,At the border,Yes,First,1
19/03/2020,Confirmed,Male,30 to 39,At the border,Yes,First,1
19/03/2020,Confirmed,Male,30 to 39,Wairarapa,,First,1
19/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,2
19/03/2020,Confirmed,Male,40 to 49,Counties Manukau,,First,1
19/03/2020,Confirmed,Male,40 to 49,MidCentral,,First,1
19/03/2020,Confirmed,Male,50 to 59,At the border,Yes,First,2
19/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
19/03/2020,Probable,Female,50 to 59,At the border,Yes,First,1
19/03/2020,Probable,Male,50 to 59,Auckland,,First,1
20/03/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
20/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
20/03/2020,Confirmed,Female,50 to 59,At the border,Yes,First,1
20/03/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
20/03/2020,Confirmed,Female,60 to 69,Nelson Marlborough,,First,1
20/03/2020,Confirmed,Male,20 to 29,At the border,Yes,First,2
20/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
20/03/2020,Confirmed,Male,50 to 59,At the border,Yes,First,1
20/03/2020,Confirmed,Male,60 to 69,Auckland,,First,1
20/03/2020,Confirmed,Male,70 to 79,Waitemata,,First,1
21/03/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
21/03/2020,Confirmed,Female,20 to 29,Auckland,,First,1
21/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
21/03/2020,Confirmed,Female,40 to 49,At the border,Yes,First,2
21/03/2020,Confirmed,Female,40 to 49,Waikato,,First,1
21/03/2020,Confirmed,Female,50 to 59,Auckland,,First,1
21/03/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
21/03/2020,Confirmed,Female,60 to 69,Canterbury/West Coast,,First,1
21/03/2020,Confirmed,Female,60 to 69,Counties Manukau,,First,1
21/03/2020,Confirmed,Female,60 to 69,Waitemata,,First,1
21/03/2020,Confirmed,Male,10 to 19,Counties Manukau,,First,1
21/03/2020,Confirmed,Male,20 to 29,At the border,Yes,First,3
21/03/2020,Confirmed,Male,30 to 39,At the border,Yes,First,1
21/03/2020,Confirmed,Male,30 to 39,Nelson Marlborough,,First,1
21/03/2020,Confirmed,Male,50 to 59,At the border,Yes,First,2
21/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,2
21/03/2020,Confirmed,Male,60 to 69,Canterbury/West Coast,,First,1
21/03/2020,Confirmed,Male,60 to 69,Capital & Coast/Hutt,,First,1
21/03/2020,Confirmed,Male,60 to 69,Counties Manukau,,First,1
22/03/2020,Confirmed,Female,10 to 19,At the border,Yes,First,1
22/03/2020,Confirmed,Female,20 to 29,At the border,Yes,First,6
22/03/2020,Confirmed,Female,20 to 29,Capital & Coast/Hutt,,First,1
22/03/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
22/03/2020,Confirmed,Female,40 to 49,At the border,Yes,First,3
22/03/2020,Confirmed,Female,40 to 49,Waitemata,,First,1
22/03/2020,Confirmed,Female,50 to 59,At the border,Yes,First,2
22/03/2020,Confirmed,Female,50 to 59,Capital & Coast/Hutt,,First,1
22/03/2020,Confirmed,Female,50 to 59,Nelson Marlborough,,First,1
22/03/2020,Confirmed,Female,50 to 59,Southern,,First,1
22/03/2020,Confirmed,Female,60 to 69,Capital & Coast/Hutt,,First,1
22/03/2020,Confirmed,Female,60 to 69,Counties Manukau,,First,1
22/03/2020,Confirmed,Female,70 to 79,At the border,Yes,First,1
22/03/2020,Confirmed,Male,10 to 19,Counties Manukau,,First,1
22/03/2020,Confirmed,Male,20 to 29,At the border,Yes,First,3
22/03/2020,Confirmed,Male,20 to 29,Auckland,,First,1
22/03/2020,Confirmed,Male,30 to 39,At the border,Yes,First,1
22/03/2020,Confirmed,Male,40 to 49,At the border,Yes,First,3
22/03/2020,Confirmed,Male,50 to 59,At the border,Yes,First,4
22/03/2020,Confirmed,Male,60 to 69,At the border,Yes,First,2
